CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,IncidentFromDate,PoliceStationID,CaseStatusID,CrimeMajorHeadID,CrimeMinorHeadID,latitude,longitude,BriefFacts,mo_tags
1,100010001202500001,202500001,2025-11-05,2025-11-05 09:54:00,1,1,2,201,12.94576,77.58871,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'cctv_sprayed,broken_lock,residential'. Case details: Property damage reported at Indiranagar jurisdiction.","cctv_sprayed,broken_lock,residential"
2,100010001202500002,202500002,2025-11-08,2025-11-08 19:04:00,1,2,2,203,12.976098,77.589991,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'highway_heist,snatching,cash_transit'. Case details: Property damage reported at Indiranagar jurisdiction.","highway_heist,snatching,cash_transit"
3,100010001202500003,202500003,2025-11-16,2025-11-16 20:16:00,1,3,2,201,12.98491,77.579853,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'cctv_sprayed,broken_lock,window_forced'. Case details: Property damage reported at Indiranagar jurisdiction.","cctv_sprayed,broken_lock,window_forced"
4,100010001202500004,202500004,2025-11-11,2025-11-11 23:08:00,1,1,2,203,12.946119,77.575241,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'weapon_knife,highway_heist,cash_transit'. Case details: Property damage reported at Indiranagar jurisdiction.","weapon_knife,highway_heist,cash_transit"
5,100010001202500005,202500005,2025-11-03,2025-11-03 23:58:00,1,2,2,201,12.97224,77.623167,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'residential,cctv_sprayed,night_entry'. Case details: Property damage reported at Indiranagar jurisdiction.","residential,cctv_sprayed,night_entry"
6,100010001202500006,202500006,2025-11-21,2025-11-21 05:03:00,1,3,2,203,12.997942,77.579023,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'weapon_knife,cash_transit,highway_heist'. Case details: Property damage reported at Indiranagar jurisdiction.","weapon_knife,cash_transit,highway_heist"
7,100010001202500007,202500007,2025-11-21,2025-11-21 11:54:00,1,1,2,201,12.945378,77.605457,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'window_forced,residential,night_entry'. Case details: Property damage reported at Indiranagar jurisdiction.","window_forced,residential,night_entry"
8,100010001202500008,202500008,2025-11-01,2025-11-01 23:55:00,1,2,2,203,12.947826,77.577733,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'cash_transit,highway_heist,weapon_knife'. Case details: Property damage reported at Indiranagar jurisdiction.","cash_transit,highway_heist,weapon_knife"
9,100010001202500009,202500009,2025-11-19,2025-11-19 19:46:00,1,3,2,201,12.963168,77.589623,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'window_forced,cctv_sprayed,broken_lock'. Case details: Property damage reported at Indiranagar jurisdiction.","window_forced,cctv_sprayed,broken_lock"
10,100010001202500010,202500010,2025-11-14,2025-11-14 04:57:00,1,1,2,203,12.949676,77.600612,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'snatching,highway_heist,weapon_knife'. Case details: Property damage reported at Indiranagar jurisdiction.","snatching,highway_heist,weapon_knife"
11,100010001202500011,202500011,2025-11-27,2025-11-27 14:57:00,1,2,2,201,12.995694,77.620974,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'broken_lock,window_forced,residential'. Case details: Property damage reported at Indiranagar jurisdiction.","broken_lock,window_forced,residential"
12,100010001202500012,202500012,2025-11-08,2025-11-08 10:12:00,1,3,2,203,12.960495,77.621219,"Coordinated heist linked to the Bangalore West Gang. MO matches tag 'weapon_knife,snatching,masked_suspects'. Case details: Property damage reported at Indiranagar jurisdiction.","weapon_knife,snatching,masked_suspects"
13,100040020202500001,202500001,2025-10-24,2025-10-24 20:52:00,20,3,2,201,15.389347,75.117192,"Property offence spike incident. Theft/Burglary reported in Hubli-Dharwad station limits. MO: residential,broken_lock,window_forced.","residential,broken_lock,window_forced"
