id,crime_type,date,time,lat,long,district,station,mo_tags,status
1,Robbery,2025-04-25,21:00:00,12.978981,77.597731,Bengaluru,Koramangala,"masked_suspects,cash_transit,repeat_offender_signature",Under Investigation
2,Burglary,2025-05-09,23:45:00,12.970221,77.588232,Bengaluru,Indiranagar,"cctv_sprayed,night_entry,repeat_offender_signature",Solved
3,Robbery,2025-05-27,20:45:00,12.963265,77.603811,Bengaluru,Indiranagar,"masked_suspects,highway_heist,repeat_offender_signature",Solved
4,Burglary,2025-03-31,21:15:00,12.980319,77.600706,Bengaluru,Koramangala,"window_forced,residential,repeat_offender_signature",Solved
5,Robbery,2025-03-11,20:15:00,12.980686,77.58674,Bengaluru,Indiranagar,"masked_suspects,snatching,repeat_offender_signature",Under Investigation
6,Burglary,2025-04-02,20:15:00,12.968872,77.597487,Bengaluru,Indiranagar,"night_entry,window_forced,repeat_offender_signature",Solved
7,Robbery,2025-03-18,20:00:00,12.979744,77.603344,Bengaluru,Koramangala,"masked_suspects,cash_transit,repeat_offender_signature",Solved
8,Burglary,2025-05-05,21:30:00,12.961668,77.594612,Bengaluru,Indiranagar,"cctv_sprayed,night_entry,repeat_offender_signature",Solved
9,Robbery,2025-05-24,22:15:00,12.967877,77.602485,Bengaluru,Indiranagar,"cash_transit,weapon_knife,repeat_offender_signature",Under Investigation
10,Burglary,2025-03-02,23:15:00,12.96821,77.599894,Bengaluru,Koramangala,"night_entry,residential,repeat_offender_signature",Solved
11,Robbery,2025-05-15,23:45:00,12.973298,77.592678,Bengaluru,Indiranagar,"snatching,weapon_knife,repeat_offender_signature",Solved
12,Burglary,2025-05-25,20:15:00,12.962835,77.60044,Bengaluru,Indiranagar,"residential,night_entry,repeat_offender_signature",Solved
13,Burglary,2025-01-21,04:01:00,15.383001,75.111439,Hubli-Dharwad,Town Station,"window_forced,cctv_sprayed",Under Investigation
14,Burglary,2025-01-21,05:33:00,15.375682,75.130531,Hubli-Dharwad,Gokul Road,"night_entry,window_forced",Unsolved
15,Burglary,2025-01-12,04:34:00,15.393883,75.144582,Hubli-Dharwad,Dharwad Town,"window_forced,night_entry",Charge Sheeted
16,Burglary,2025-01-12,09:42:00,15.374299,75.156219,Hubli-Dharwad,Town Station,"broken_lock,residential",Unsolved
17,Burglary,2025-01-10,20:37:00,15.34711,75.162921,Hubli-Dharwad,Dharwad Town,"night_entry,window_forced",Under Investigation
18,Burglary,2025-01-10,15:05:00,15.326426,75.147205,Hubli-Dharwad,Gokul Road,"residential,night_entry",Charge Sheeted
19,Burglary,2025-01-01,17:08:00,15.348506,75.155673,Hubli-Dharwad,Vidyagiri,"window_forced,night_entry",Unsolved
20,Burglary,2025-01-05,07:55:00,15.354781,75.098587,Hubli-Dharwad,Vidyagiri,"night_entry,broken_lock",Unsolved
21,Burglary,2025-01-20,17:47:00,15.374256,75.145154,Hubli-Dharwad,Town Station,"cctv_sprayed,window_forced",Solved
22,Burglary,2025-01-13,01:29:00,15.330647,75.142861,Hubli-Dharwad,Suburban,"cctv_sprayed,broken_lock",Unsolved
23,Burglary,2025-01-15,06:02:00,15.352722,75.136427,Hubli-Dharwad,Gokul Road,"residential,window_forced",Solved
24,Burglary,2025-01-22,10:52:00,15.338454,75.12745,Hubli-Dharwad,Dharwad Town,"window_forced,cctv_sprayed",Charge Sheeted
25,Burglary,2025-01-02,07:29:00,15.396995,75.151492,Hubli-Dharwad,Town Station,"broken_lock,cctv_sprayed",Solved
26,Assault,2025-01-04,10:59:00,15.38154,75.084142,Hubli-Dharwad,Suburban,"public_place,weapon_blunt",Solved
27,Theft,2025-01-23,15:23:00,15.409719,75.081282,Hubli-Dharwad,Vidyagiri,"daytime,unattended_bag",Solved
28,Narcotics,2025-01-01,17:16:00,15.387113,75.17199,Hubli-Dharwad,Suburban,"synthetic_drugs,college_area",Unsolved
29,Assault,2025-01-26,07:36:00,15.396519,75.179557,Hubli-Dharwad,Dharwad Town,"weapon_blunt,drunken_altercation",Unsolved
30,Assault,2025-01-28,12:10:00,15.373422,75.132531,Hubli-Dharwad,Dharwad Town,"domestic_dispute,weapon_blunt",Under Investigation
31,Theft,2025-01-22,00:19:00,15.361742,75.072465,Hubli-Dharwad,Dharwad Town,"shoplifting,daytime",Charge Sheeted
32,Kidnapping,2025-01-11,20:10:00,15.369039,75.077032,Hubli-Dharwad,Dharwad Town,"vehicle_used,acquaintance_involved",Solved
33,Narcotics,2025-01-13,15:58:00,15.351755,75.071632,Hubli-Dharwad,Gokul Road,"possession,college_area",Solved
34,Robbery,2025-01-12,03:23:00,15.369355,75.114606,Hubli-Dharwad,Dharwad Town,"cash_transit,masked_suspects",Solved
35,Burglary,2025-02-28,11:12:00,15.342179,75.086376,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,residential",Under Investigation
36,Burglary,2025-02-01,22:54:00,15.380603,75.135977,Hubli-Dharwad,Town Station,"window_forced,residential",Charge Sheeted
37,Burglary,2025-02-19,05:05:00,15.367637,75.133592,Hubli-Dharwad,Suburban,"broken_lock,cctv_sprayed",Solved
38,Burglary,2025-02-14,01:03:00,15.364384,75.086992,Hubli-Dharwad,Vidyagiri,"window_forced,broken_lock",Solved
39,Burglary,2025-02-12,05:21:00,15.368816,75.100259,Hubli-Dharwad,Vidyagiri,"window_forced,cctv_sprayed",Under Investigation
40,Burglary,2025-02-19,08:30:00,15.338776,75.094759,Hubli-Dharwad,Suburban,"night_entry,cctv_sprayed",Solved
41,Burglary,2025-02-12,18:31:00,15.394334,75.135657,Hubli-Dharwad,Gokul Road,"cctv_sprayed,residential",Charge Sheeted
42,Burglary,2025-02-03,06:49:00,15.339963,75.121974,Hubli-Dharwad,Town Station,"residential,night_entry",Solved
43,Burglary,2025-02-25,07:44:00,15.363472,75.110959,Hubli-Dharwad,Vidyagiri,"night_entry,residential",Under Investigation
44,Theft,2025-02-06,16:13:00,15.360036,75.073279,Hubli-Dharwad,Vidyagiri,"pickpocketing,vehicle_theft",Unsolved
45,Kidnapping,2025-02-21,21:50:00,15.341174,75.068604,Hubli-Dharwad,Suburban,"ransom_demand,acquaintance_involved",Unsolved
46,Narcotics,2025-02-15,00:21:00,15.405981,75.130357,Hubli-Dharwad,Town Station,"synthetic_drugs,transit_seizure",Solved
47,Theft,2025-02-13,15:40:00,15.415967,75.150628,Hubli-Dharwad,Dharwad Town,"shoplifting,unattended_bag",Unsolved
48,Kidnapping,2025-02-14,05:49:00,15.37496,75.153448,Hubli-Dharwad,Town Station,"vehicle_used,minor_victim",Solved
49,Assault,2025-02-09,16:31:00,15.338635,75.113963,Hubli-Dharwad,Vidyagiri,"street_brawl,weapon_blunt",Charge Sheeted
50,Assault,2025-02-20,20:02:00,15.398405,75.109781,Hubli-Dharwad,Vidyagiri,"domestic_dispute,weapon_blunt",Unsolved
51,Robbery,2025-02-22,00:22:00,15.396871,75.082386,Hubli-Dharwad,Dharwad Town,"highway_heist,masked_suspects",Solved
52,Kidnapping,2025-02-14,02:49:00,15.329063,75.117048,Hubli-Dharwad,Suburban,"acquaintance_involved,ransom_demand",Charge Sheeted
53,Burglary,2025-03-28,19:39:00,15.391989,75.093446,Hubli-Dharwad,Gokul Road,"night_entry,residential",Charge Sheeted
54,Burglary,2025-03-06,20:54:00,15.37417,75.12593,Hubli-Dharwad,Town Station,"broken_lock,cctv_sprayed",Unsolved
55,Burglary,2025-03-16,01:18:00,15.348952,75.140652,Hubli-Dharwad,Dharwad Town,"cctv_sprayed,window_forced",Solved
56,Burglary,2025-03-06,16:55:00,15.377041,75.100253,Hubli-Dharwad,Gokul Road,"night_entry,cctv_sprayed",Charge Sheeted
57,Burglary,2025-03-15,01:09:00,15.325909,75.158576,Hubli-Dharwad,Gokul Road,"window_forced,residential",Under Investigation
58,Burglary,2025-03-02,07:06:00,15.364915,75.144697,Hubli-Dharwad,Town Station,"cctv_sprayed,window_forced",Unsolved
59,Burglary,2025-03-24,21:18:00,15.338689,75.134624,Hubli-Dharwad,Town Station,"window_forced,night_entry",Charge Sheeted
60,Burglary,2025-03-17,23:11:00,15.396982,75.151968,Hubli-Dharwad,Gokul Road,"broken_lock,cctv_sprayed",Solved
61,Burglary,2025-03-21,17:45:00,15.361347,75.141471,Hubli-Dharwad,Vidyagiri,"broken_lock,night_entry",Unsolved
62,Burglary,2025-03-16,08:30:00,15.360498,75.161234,Hubli-Dharwad,Vidyagiri,"window_forced,residential",Under Investigation
63,Narcotics,2025-03-25,09:17:00,15.311131,75.174434,Hubli-Dharwad,Town Station,"transit_seizure,peddling",Under Investigation
64,Cyber Crime,2025-03-09,09:05:00,15.419939,75.154568,Hubli-Dharwad,Gokul Road,"fake_profile,otp_fraud",Unsolved
65,Theft,2025-03-10,15:20:00,15.389116,75.094206,Hubli-Dharwad,Dharwad Town,"shoplifting,pickpocketing",Charge Sheeted
66,Kidnapping,2025-03-28,03:56:00,15.332299,75.103577,Hubli-Dharwad,Suburban,"vehicle_used,acquaintance_involved",Under Investigation
67,Theft,2025-03-08,03:25:00,15.30636,75.102525,Hubli-Dharwad,Town Station,"daytime,pickpocketing",Under Investigation
68,Theft,2025-03-17,22:35:00,15.41206,75.075991,Hubli-Dharwad,Town Station,"unattended_bag,vehicle_theft",Unsolved
69,Theft,2025-03-18,18:37:00,15.349905,75.170357,Hubli-Dharwad,Suburban,"shoplifting,daytime",Under Investigation
70,Robbery,2025-03-27,01:08:00,15.333216,75.073463,Hubli-Dharwad,Dharwad Town,"cash_transit,highway_heist",Charge Sheeted
71,Narcotics,2025-03-25,04:38:00,15.376399,75.180713,Hubli-Dharwad,Vidyagiri,"synthetic_drugs,college_area",Solved
72,Theft,2025-03-12,15:39:00,15.379284,75.147579,Hubli-Dharwad,Town Station,"pickpocketing,daytime",Under Investigation
73,Burglary,2025-04-10,18:02:00,15.383954,75.152386,Hubli-Dharwad,Gokul Road,"window_forced,broken_lock",Charge Sheeted
74,Burglary,2025-04-27,20:51:00,15.393052,75.114565,Hubli-Dharwad,Town Station,"residential,night_entry",Under Investigation
75,Burglary,2025-04-26,04:52:00,15.39646,75.084268,Hubli-Dharwad,Dharwad Town,"residential,window_forced",Charge Sheeted
76,Burglary,2025-04-05,23:32:00,15.344996,75.120345,Hubli-Dharwad,Suburban,"residential,night_entry",Under Investigation
77,Burglary,2025-04-16,03:37:00,15.330345,75.102747,Hubli-Dharwad,Town Station,"broken_lock,residential",Solved
78,Burglary,2025-04-12,15:45:00,15.370254,75.133343,Hubli-Dharwad,Suburban,"window_forced,night_entry",Unsolved
79,Burglary,2025-04-20,08:35:00,15.364662,75.146097,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,night_entry",Charge Sheeted
80,Burglary,2025-04-13,07:02:00,15.357652,75.092737,Hubli-Dharwad,Gokul Road,"residential,broken_lock",Under Investigation
81,Burglary,2025-04-08,06:34:00,15.347697,75.118649,Hubli-Dharwad,Suburban,"cctv_sprayed,broken_lock",Under Investigation
82,Burglary,2025-04-11,13:36:00,15.355967,75.107955,Hubli-Dharwad,Suburban,"night_entry,broken_lock",Solved
83,Burglary,2025-04-01,16:10:00,15.35972,75.110291,Hubli-Dharwad,Dharwad Town,"night_entry,residential",Under Investigation
84,Theft,2025-04-22,08:31:00,15.30636,75.149295,Hubli-Dharwad,Town Station,"pickpocketing,daytime",Charge Sheeted
85,Cyber Crime,2025-04-25,11:03:00,15.384201,75.132141,Hubli-Dharwad,Dharwad Town,"crypto_scam,otp_fraud",Unsolved
86,Kidnapping,2025-04-05,14:50:00,15.329899,75.155631,Hubli-Dharwad,Vidyagiri,"vehicle_used,acquaintance_involved",Charge Sheeted
87,Assault,2025-04-10,09:50:00,15.340317,75.1655,Hubli-Dharwad,Vidyagiri,"drunken_altercation,domestic_dispute",Charge Sheeted
88,Assault,2025-04-02,17:15:00,15.316916,75.085742,Hubli-Dharwad,Suburban,"domestic_dispute,public_place",Under Investigation
89,Theft,2025-04-27,20:14:00,15.34318,75.098556,Hubli-Dharwad,Suburban,"pickpocketing,daytime",Charge Sheeted
90,Robbery,2025-04-03,22:46:00,15.394482,75.16819,Hubli-Dharwad,Gokul Road,"snatching,masked_suspects",Solved
91,Theft,2025-04-10,15:11:00,15.327386,75.114768,Hubli-Dharwad,Vidyagiri,"unattended_bag,vehicle_theft",Solved
92,Theft,2025-04-28,18:10:00,15.405766,75.154128,Hubli-Dharwad,Gokul Road,"unattended_bag,vehicle_theft",Unsolved
93,Burglary,2025-05-11,12:31:00,15.345263,75.108798,Hubli-Dharwad,Vidyagiri,"night_entry,cctv_sprayed",Under Investigation
94,Burglary,2025-05-22,03:49:00,15.394004,75.156858,Hubli-Dharwad,Dharwad Town,"cctv_sprayed,broken_lock",Solved
95,Burglary,2025-05-12,12:36:00,15.334757,75.163119,Hubli-Dharwad,Town Station,"broken_lock,night_entry",Charge Sheeted
96,Burglary,2025-05-27,21:29:00,15.331645,75.101973,Hubli-Dharwad,Vidyagiri,"residential,night_entry",Charge Sheeted
97,Burglary,2025-05-22,15:52:00,15.367558,75.098192,Hubli-Dharwad,Town Station,"night_entry,window_forced",Unsolved
98,Burglary,2025-05-04,22:00:00,15.342273,75.163431,Hubli-Dharwad,Gokul Road,"window_forced,broken_lock",Unsolved
99,Burglary,2025-05-09,11:40:00,15.368995,75.148054,Hubli-Dharwad,Dharwad Town,"window_forced,cctv_sprayed",Solved
100,Burglary,2025-05-22,18:04:00,15.402425,75.085976,Hubli-Dharwad,Gokul Road,"residential,broken_lock",Unsolved
101,Narcotics,2025-05-11,00:34:00,15.366128,75.15569,Hubli-Dharwad,Gokul Road,"possession,peddling",Under Investigation
102,Theft,2025-05-11,03:58:00,15.355398,75.075494,Hubli-Dharwad,Vidyagiri,"pickpocketing,unattended_bag",Under Investigation
103,Kidnapping,2025-05-17,18:03:00,15.324114,75.156539,Hubli-Dharwad,Town Station,"vehicle_used,minor_victim",Unsolved
104,Robbery,2025-05-07,08:00:00,15.333271,75.147095,Hubli-Dharwad,Gokul Road,"snatching,highway_heist",Under Investigation
105,Theft,2025-05-09,18:14:00,15.329571,75.072987,Hubli-Dharwad,Town Station,"unattended_bag,daytime",Solved
106,Narcotics,2025-05-05,08:01:00,15.409806,75.144892,Hubli-Dharwad,Dharwad Town,"synthetic_drugs,possession",Charge Sheeted
107,Narcotics,2025-05-10,03:56:00,15.337725,75.072904,Hubli-Dharwad,Vidyagiri,"transit_seizure,peddling",Solved
108,Burglary,2025-06-18,02:05:00,15.360864,75.127554,Hubli-Dharwad,Vidyagiri,"residential,broken_lock",Charge Sheeted
109,Burglary,2025-06-08,16:49:00,15.353457,75.159397,Hubli-Dharwad,Gokul Road,"residential,cctv_sprayed",Under Investigation
110,Burglary,2025-06-18,17:19:00,15.380637,75.124668,Hubli-Dharwad,Gokul Road,"broken_lock,window_forced",Solved
111,Burglary,2025-06-18,10:02:00,15.383434,75.154771,Hubli-Dharwad,Dharwad Town,"window_forced,broken_lock",Charge Sheeted
112,Burglary,2025-06-22,00:22:00,15.347504,75.12168,Hubli-Dharwad,Dharwad Town,"window_forced,cctv_sprayed",Under Investigation
113,Burglary,2025-06-11,20:04:00,15.382025,75.102417,Hubli-Dharwad,Town Station,"broken_lock,cctv_sprayed",Solved
114,Burglary,2025-06-26,22:13:00,15.332808,75.09047,Hubli-Dharwad,Suburban,"window_forced,broken_lock",Under Investigation
115,Burglary,2025-06-01,10:27:00,15.360147,75.112765,Hubli-Dharwad,Town Station,"window_forced,broken_lock",Charge Sheeted
116,Burglary,2025-06-19,04:58:00,15.353786,75.116563,Hubli-Dharwad,Suburban,"broken_lock,cctv_sprayed",Unsolved
117,Burglary,2025-06-17,15:57:00,15.342649,75.115702,Hubli-Dharwad,Town Station,"window_forced,residential",Unsolved
118,Burglary,2025-06-28,05:57:00,15.366145,75.16343,Hubli-Dharwad,Dharwad Town,"broken_lock,residential",Under Investigation
119,Burglary,2025-06-14,02:04:00,15.381641,75.107977,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,window_forced",Charge Sheeted
120,Burglary,2025-06-07,02:37:00,15.335872,75.142401,Hubli-Dharwad,Vidyagiri,"broken_lock,night_entry",Under Investigation
121,Robbery,2025-06-22,08:58:00,15.382836,75.13036,Hubli-Dharwad,Dharwad Town,"weapon_knife,snatching",Under Investigation
122,Robbery,2025-06-10,22:55:00,15.386306,75.167308,Hubli-Dharwad,Gokul Road,"snatching,weapon_knife",Charge Sheeted
123,Kidnapping,2025-06-15,04:39:00,15.315195,75.131995,Hubli-Dharwad,Dharwad Town,"vehicle_used,acquaintance_involved",Solved
124,Assault,2025-06-19,17:28:00,15.381267,75.156653,Hubli-Dharwad,Dharwad Town,"weapon_blunt,street_brawl",Unsolved
125,Cyber Crime,2025-06-14,20:23:00,15.389209,75.132279,Hubli-Dharwad,Town Station,"otp_fraud,identity_theft",Under Investigation
126,Kidnapping,2025-06-26,03:38:00,15.40015,75.099936,Hubli-Dharwad,Town Station,"acquaintance_involved,minor_victim",Unsolved
127,Burglary,2025-07-07,19:35:00,15.340707,75.087718,Hubli-Dharwad,Suburban,"residential,night_entry",Charge Sheeted
128,Burglary,2025-07-23,22:18:00,15.331236,75.150173,Hubli-Dharwad,Gokul Road,"window_forced,cctv_sprayed",Charge Sheeted
129,Burglary,2025-07-05,18:22:00,15.397536,75.10495,Hubli-Dharwad,Town Station,"broken_lock,residential",Solved
130,Burglary,2025-07-11,16:52:00,15.358347,75.089172,Hubli-Dharwad,Suburban,"window_forced,cctv_sprayed",Charge Sheeted
131,Burglary,2025-07-27,01:10:00,15.384284,75.15353,Hubli-Dharwad,Dharwad Town,"residential,broken_lock",Under Investigation
132,Burglary,2025-07-09,18:27:00,15.385143,75.160442,Hubli-Dharwad,Town Station,"residential,window_forced",Charge Sheeted
133,Burglary,2025-07-23,13:44:00,15.371292,75.140188,Hubli-Dharwad,Gokul Road,"broken_lock,residential",Charge Sheeted
134,Burglary,2025-07-18,21:42:00,15.344925,75.146604,Hubli-Dharwad,Suburban,"night_entry,broken_lock",Charge Sheeted
135,Burglary,2025-07-10,16:01:00,15.349527,75.127284,Hubli-Dharwad,Suburban,"window_forced,night_entry",Unsolved
136,Burglary,2025-07-16,18:29:00,15.338532,75.11106,Hubli-Dharwad,Dharwad Town,"window_forced,broken_lock",Unsolved
137,Burglary,2025-07-10,14:25:00,15.380679,75.116433,Hubli-Dharwad,Town Station,"night_entry,residential",Charge Sheeted
138,Burglary,2025-07-02,20:12:00,15.377353,75.147621,Hubli-Dharwad,Town Station,"window_forced,night_entry",Charge Sheeted
139,Theft,2025-07-02,19:53:00,15.404752,75.150918,Hubli-Dharwad,Town Station,"pickpocketing,daytime",Charge Sheeted
140,Robbery,2025-07-25,04:30:00,15.38291,75.166358,Hubli-Dharwad,Gokul Road,"weapon_knife,snatching",Unsolved
141,Cyber Crime,2025-07-03,19:48:00,15.323568,75.102581,Hubli-Dharwad,Town Station,"crypto_scam,identity_theft",Under Investigation
142,Assault,2025-07-03,05:35:00,15.37647,75.124082,Hubli-Dharwad,Gokul Road,"weapon_blunt,public_place",Charge Sheeted
143,Theft,2025-07-06,16:18:00,15.316588,75.12402,Hubli-Dharwad,Gokul Road,"daytime,vehicle_theft",Unsolved
144,Narcotics,2025-07-08,04:40:00,15.372599,75.125571,Hubli-Dharwad,Suburban,"college_area,synthetic_drugs",Solved
145,Assault,2025-07-02,23:04:00,15.332831,75.098573,Hubli-Dharwad,Vidyagiri,"domestic_dispute,drunken_altercation",Under Investigation
146,Cyber Crime,2025-07-12,05:16:00,15.381837,75.071592,Hubli-Dharwad,Dharwad Town,"identity_theft,phishing_link",Under Investigation
147,Burglary,2025-08-24,08:49:00,15.395259,75.110983,Hubli-Dharwad,Town Station,"window_forced,night_entry",Unsolved
148,Burglary,2025-08-24,13:20:00,15.356447,75.09622,Hubli-Dharwad,Town Station,"window_forced,night_entry",Under Investigation
149,Burglary,2025-08-23,06:09:00,15.377873,75.150523,Hubli-Dharwad,Dharwad Town,"broken_lock,window_forced",Solved
150,Burglary,2025-08-09,15:21:00,15.394983,75.103382,Hubli-Dharwad,Town Station,"window_forced,residential",Unsolved
151,Burglary,2025-08-23,14:43:00,15.404253,75.129635,Hubli-Dharwad,Suburban,"broken_lock,night_entry",Under Investigation
152,Burglary,2025-08-13,04:42:00,15.339216,75.123963,Hubli-Dharwad,Vidyagiri,"broken_lock,residential",Unsolved
153,Burglary,2025-08-04,09:55:00,15.362606,75.158442,Hubli-Dharwad,Town Station,"broken_lock,residential",Unsolved
154,Burglary,2025-08-19,23:58:00,15.374286,75.09944,Hubli-Dharwad,Suburban,"residential,broken_lock",Charge Sheeted
155,Burglary,2025-08-05,02:29:00,15.392781,75.161987,Hubli-Dharwad,Suburban,"cctv_sprayed,broken_lock",Unsolved
156,Burglary,2025-08-12,18:33:00,15.361702,75.137249,Hubli-Dharwad,Vidyagiri,"cctv_sprayed,night_entry",Under Investigation
157,Robbery,2025-08-20,17:46:00,15.363388,75.179667,Hubli-Dharwad,Town Station,"masked_suspects,highway_heist",Solved
158,Assault,2025-08-20,19:52:00,15.395297,75.078112,Hubli-Dharwad,Suburban,"street_brawl,public_place",Unsolved
159,Assault,2025-08-21,12:51:00,15.316284,75.145381,Hubli-Dharwad,Vidyagiri,"drunken_altercation,domestic_dispute",Charge Sheeted
160,Theft,2025-08-14,22:29:00,15.416037,75.151745,Hubli-Dharwad,Suburban,"unattended_bag,shoplifting",Under Investigation
161,Theft,2025-08-15,04:33:00,15.41978,75.108332,Hubli-Dharwad,Gokul Road,"unattended_bag,vehicle_theft",Solved
162,Narcotics,2025-08-26,21:14:00,15.321432,75.092217,Hubli-Dharwad,Gokul Road,"transit_seizure,peddling",Solved
163,Narcotics,2025-08-15,04:10:00,15.423646,75.160449,Hubli-Dharwad,Vidyagiri,"transit_seizure,possession",Charge Sheeted
164,Burglary,2025-09-16,01:48:00,15.391697,75.095842,Hubli-Dharwad,Suburban,"window_forced,residential",Under Investigation
165,Burglary,2025-09-06,07:36:00,15.386033,75.105344,Hubli-Dharwad,Suburban,"broken_lock,night_entry",Solved
166,Burglary,2025-09-20,05:17:00,15.374111,75.145039,Hubli-Dharwad,Suburban,"cctv_sprayed,window_forced",Unsolved
167,Burglary,2025-09-02,21:03:00,15.335192,75.107689,Hubli-Dharwad,Gokul Road,"night_entry,residential",Under Investigation
168,Burglary,2025-09-12,03:27:00,15.324829,75.091922,Hubli-Dharwad,Gokul Road,"window_forced,broken_lock",Solved
169,Burglary,2025-09-11,06:22:00,15.328262,75.091963,Hubli-Dharwad,Suburban,"cctv_sprayed,broken_lock",Under Investigation
170,Burglary,2025-09-01,11:23:00,15.338295,75.118825,Hubli-Dharwad,Gokul Road,"residential,broken_lock",Unsolved
171,Burglary,2025-09-25,13:46:00,15.328317,75.160569,Hubli-Dharwad,Town Station,"night_entry,window_forced",Under Investigation
172,Burglary,2025-09-24,23:42:00,15.34055,75.136971,Hubli-Dharwad,Vidyagiri,"residential,cctv_sprayed",Charge Sheeted
173,Burglary,2025-09-18,23:56:00,15.338812,75.135505,Hubli-Dharwad,Dharwad Town,"broken_lock,cctv_sprayed",Charge Sheeted
174,Burglary,2025-09-10,06:34:00,15.404554,75.110064,Hubli-Dharwad,Suburban,"cctv_sprayed,window_forced",Solved
175,Burglary,2025-09-21,15:50:00,15.336685,75.140521,Hubli-Dharwad,Vidyagiri,"window_forced,night_entry",Unsolved
176,Burglary,2025-09-25,08:24:00,15.337682,75.107515,Hubli-Dharwad,Town Station,"broken_lock,night_entry",Charge Sheeted
177,Assault,2025-09-21,23:11:00,15.366232,75.153213,Hubli-Dharwad,Dharwad Town,"weapon_blunt,street_brawl",Unsolved
178,Narcotics,2025-09-27,03:18:00,15.389543,75.078978,Hubli-Dharwad,Dharwad Town,"possession,synthetic_drugs",Under Investigation
